belong1,belong2,fb1,fb2,fb3,closeness,mg1,mg2,swl,ms1r,ms2r,ms3r,mscp,fbcp,learningcp,belongcp,schoolr,sis_age,sis_female,sis_frpl,ethall,allgpa,allmgpa,allelagpa,allscigpa,allsocgpa,set1scorezero,cs,eiwd,perswd,percent_resilscorezero,mbcp,t1p1,q76_first_click,q76_last_click,q76_page_submit,q76_click_count,t1p2,q77_first_click,q77_last_click,q77_page_submit,q77_click_count,t1p3,q78_first_click,q78_last_click,q78_page_submit,q78_click_count,t1p4,q79_first_click,q79_last_click,q79_page_submit,q79_click_count,t1difchc,q64_first_click,q64_last_click,q64_page_submit,q64_click_count,t1pp1,t1pp1t1_first_click,t1pp1t1_last_click,t1pp1t1_page_submit,t1pp1t1_click_count,t1pp1w,t1pp1r,t1pp1t2_first_click,t1pp1t2_last_click,t1pp1t2_page_submit,t1pp1t2_click_count,t1pp2,t1pp2t1_first_click,t1pp2t1_last_click,t1pp2t1_page_submit,t1pp2t1_click_count,t1pp2w,t1pp2r,t1pp2t2_first_click,t1pp2t2_last_click,t1pp2t2_page_submit,t1pp2t2_click_count,t1pp3,t1pp2t1_first_click_1,t1pp2t1_last_click_1,t1pp2t1_page_submit_1,t1pp2t1_click_count_1,t1pp3w,t1pp3r,t1pp3t2_first_click,t1pp3t2_last_click,t1pp3t2_page_submit,t1pp3t2_click_count,t1tp1,q124_first_click,q124_last_click,t1tp1time,q124_click_count,t1tp1choice,t1tp2,q130_first_click,q130_last_click,t1tp2time,q130_click_count,t1tp2choice,t1tp3,q136_first_click,q136_last_click,t1tp3time,q136_click_count,t1tp3choice,t1tp4,q142_first_click,q142_last_click,t1tp4time,q142_click_count,t1tp4choice,t1tp5,q148_first_click,q148_last_click,t1tp5time,q148_click_count,t1tp5choice,t1tp6,q156_first_click,q156_last_click,t1tp6time,q156_click_count,t1tp6choice,t1tp7,q162_first_click,q162_last_click,t1tp7time,q162_click_count,t1tp7choice,t1tp8,q165_first_click,q165_last_click,t1tp8time
4,4,3,3,5, ,4,4,5,3,3,3,3,4,4,4,1,14,1,0,4,98.2679166675,99.385,97.595,97.9825,98.9425,4,1,.148522445461434,0,0,1.14852244546143,1,6.513,8.149,8.186,4,3,8.086,8.976,9.361,3,6,3.561,4.476,4.89,3,6,3.562,4.24,4.631,3,1,0,0,1.27,0,4,12.421,13.185,13.524,3, ,0, , , , , ,5.467,6.739,6.752,3,0, , , , , , ,4.779,5.991,6.001,3,0, , , , , ,8,.563,15.107,15.14,12,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,3,3,5,7,5,4,5,6,6,5,5.66666666666667,4,4.5,4,1,16,1,0,1,88.3707142875,84.19,88.0125,87.43,83.6775,3,1,.330563525481974,.221849493112152,0,1.55241301859413,1,7.046,9.938,9.96,3,6,8.187,9.397,9.42,4,6,3.207,3.905,4.307,3,6,9.669,19.093,19.94,3,1,0,0,4.787,0,4,20.276,27.383,28.029,6, ,0, , , , ,2,30.893,35.535,36.053,6,0, , , , , ,1,18.545,20.141,20.16,4, ,0, , , , ,8,1.731,10.678,13.984,6,1,6,10.295,12.74,13.407,5,1,4,6.217,9.352,9.905,8,1,8,6.646,10.901,11.517,7,1,1,5.593,19.45,20.405,15,0, , , , , , , , , , , , , , , , 
3,3,4,3,3,4,3,3,4,3,4,4,3.66666666666667,3.5,3,3,1,15,0,1,4,68.5467857125,53.9775,61.49375,73.75, ,4,0,.229024807842372,.232017313708585,1,1.46104212155096,1,7.501,8.936,9.644,3,3,20.438,24.331,24.374,4,6,2.305,5.455,6.195,5,6,4.425,5.285,5.771,3,0,0,0,.678,0,1,13.845,16.159,16.796,3,0, , , , , ,4,12.73,13.652,14.079,3,0, , , , , ,4,15.526,16.442,16.985,3,0, , , , , ,8,5.383,11.867,12.424,8,1,8,18.021,21.39,21.889,7,1,4,1.274,8.708,9.256,7,1,8,10.624,12.882,13.586,7,1,3,13.106,15.102,15.682,6,1,5,2.019,3.455,4.04,6,1,8,3.997,7.251,7.636,6,1,3,4.002,4.797,5.674
2,1,4,4,2,5,4,3,2,1,1,1,1,3,3.5,1.5,7,16,1,1,4,79.3153571425,79.5375,79.475,73.245,82.7375,3,1,.517830626895599,.407475260863329,1,2.92530588775893,1,16.32,16.32,19.547,1,5,51.506,51.506,53.733,1,6,16.019,16.019,21.781,1,6,10.159,10.159,11.901,1,1,0,0,13.277,0,4,49.048,49.048,51.595,1, ,0, , , , ,2,77.831,77.831,79.785,1,0, , , , , ,1,44.858,44.858,46.76,1, ,0, , , , ,8,12.102,16.051,18.342,2,1,5,44.711,49.577,54.321,4,1,4,43.637,45.337,49.123,2,1,8,20.227,21.743,23.521,2,1,9,55.817,57.383,59.369,2,1,5,3.959,7.603,9.388,2,1,8,6.409,8.311,9.798,2,1,3,5.959,5.959,8.493
5,3,2,2,4,7,4,4,4,5,5,1,3.66666666666667,5,4,4,1,16,0,1,2,78.86785714,72.54,82.1425,82.2375,69.9,2,1,.376277203987774,.217890001085309,0,1.59416720507308,1,7.674,9.978,10.863,3,2,21.948,25.027,25.051,4,6,2.768,9.504,9.526,6,4,6.5,8.855,8.88,4,1,0,0,.646,0,4,19.951,22.885,23.582,5, ,0, , , , ,8,46.714,47.608,48.043,3, , , , , , ,5,28.187,31.602,32.332,5, , , , , , ,8,8.325,24.904,27.046,21,1,7,1.306,51.548,53.28,14,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,4,3,3,4,1,2,4,3,6,3,5,4.66666666666667,4,3,3.5,2,17,0,1,1,89.1839285725,92.565,83.5625,98.98,66.705,4,1,.34871661462969,.346066590552893,1,2.69478320518258,1,8.181,11.791,11.843,4,3,4.32,14.356,14.401,4,6,3.244,7.508,7.567,4,6,4.313,5.644,6.439,3,1,0,0,3.215,0,4,8.404,27.602,28.3,4, ,0, , , , ,5,32.03,40.484,41.048,4, ,0, , , , ,1,12.287,19.735,22.475,3, ,0, , , , ,8,1.59,15.687,16.702,8,1,2,1.737,34.242,35.595,7,1,4,1.288,41.493,42.016,8,1,8,5.086,17.172,18.195,7,1,4,14.938,37.88,38.597,9,1,5,2.3,5.7,8.891,6,1,8,5.376,10.211,10.83,6,1,3,3.645,13.475,14.05
4,4,4,4,1,4,4,3,3,3,5,4,4,3,3.5,4,1,18,0,1,4,57.90142857,74.51,59.8816666666667,50,50,3,0,.0690981346158748,0,0,.0690981346158748,1,10.272,11.117,12.324,3,3,.762,22.242,22.844,14,6,3.653,7.698,8.315,7,3,6.025,7.45,7.473,4,0,0,0,.924,0,8,3.463,4.561,4.586,4,0, , , , , ,5,1.396,1.984,2.443,3, ,0, , , , ,5,1.743,3.601,4.248,5,0, , , , , ,8,.908,12.972,13.959,16,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,5,4,5,7,4,4,2,5,5,5,5,2.5,4,4,2,17,1,1,4,77.486026785, ,90.1875,80.4975, ,3,0,.26294114060449,.189459373185309,1,1.4524005137898,1,12.487,23.172,25.539,6,3,18.002,18.602,19.538,3,6,6.697,11.153,11.87,8,3,14.363,15.956,16.015,4,0,0,0,.865,0,4,14.663,29.482,30.258,11, ,0, , , , ,3,13.553,17.645,18.356,5,0, , , , , ,4,8.922,9.494,10.262,3,0, , , , , ,8,3.111,19.049,19.974,9,1,8,8.823,16.036,16.749,7,1,3,2.772,6.99,7.625,6,1,7,2.129,11.178,11.834,10,1,7,1.626,3.46,4.075,7,1,5,1.639,3.494,4.254,5,1,8,5.322,6.976,7.712,5,1,3,5.37,6.842,6.908
3,1,3,2,4,5,2,1,5,3,3,3,3,4.5,1.5,2,1,18,0,0,4,66.7765555566667,70.68,79.755,57.3266666666667,50,4,0,.412790827197336,0,0,.412790827197336,1,9.437,15.337,17.868,2,3,3.476,7.036,8.113,2,6,4.819,6.995,8.16,2,6,7.61,9.224,12.791,2,0,0,0,.801,0,4,30.359,33.004,35.099,2, ,0, , , , ,2,60.816,63.052,64.539,2,0, , , , , ,2,17.714,20.662,21.554,2,0, , , , , ,8,3.414,25.042,25.977,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,5,5,5,5,7,5,5,5,6,6,6,6,2,5,5,1,16,0,1,4,78.9671875,77.2975,76.44125,76.7625,78.0225,4,0,.262020721646956,0,0,.262020721646956,1,4.271,5.248,5.737,3,3,5.628,6.529,6.991,3,6,2.766,3.285,3.787,3,6,2.988,3.697,4.237,3,0,.621,.621,.643,1,4,1.336,9.449,10.188,6, ,0, , , , ,3,33.014,33.649,34.432,3,0, , , , , ,4,9.495,13.491,13.942,7,0, , , , , ,8,.739,8.269,8.732,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
